年份,GDP总量_万亿元,GDP增速_百分比,第一产业_万亿元,第二产业_万亿元,第三产业_万亿元,人均GDP_元,社会消费品零售总额_万亿元,进出口总额_万亿元,固定资产投资_万亿元
2010,41.21,10.6,3.93,19.16,18.12,30808,15.7,20.17,27.81
2011,48.79,9.6,4.48,22.7,21.61,36302,18.39,23.64,31.15
2012,53.86,7.9,5.09,24.46,24.31,39874,21.03,24.42,37.47
2013,59.3,7.8,5.53,26.2,27.57,43684,23.78,25.83,44.71
2014,64.36,7.4,5.83,27.76,30.77,46912,26.24,26.43,51.28
2015,68.89,7.0,6.09,28.21,34.59,49922,28.66,24.55,56.2
2016,74.64,6.8,6.37,29.58,38.69,53783,31.24,24.33,60.65
2017,83.2,6.9,6.47,33.16,43.57,59592,34.73,27.79,64.12
2018,91.93,6.7,6.47,36.49,48.97,65534,38.1,30.51,63.56
2019,98.65,6.0,7.05,38.07,53.53,70098,41.16,31.54,55.15
2020,101.36,2.2,7.78,38.43,55.15,71828,39.2,32.16,51.9
2021,114.92,8.4,8.31,45.19,61.42,81370,44.08,39.1,54.45
2022,121.02,3.0,8.83,47.48,64.71,85698,43.97,42.07,57.96
2023,126.06,5.2,8.98,48.21,68.87,89358,47.15,41.76,51.5
2024,134.91,5.0,9.14,49.27,76.5,95794,48.79,43.85,52.41
