年份,总人口_万人,城镇人口_万人,农村人口_万人,城镇化率_百分比,出生人口_万人
2010,134091,66978,67113,49.95,1592
2011,134735,69079,65656,51.27,1604
2012,135404,71182,64222,52.57,1635
2013,136072,73111,62961,53.73,1640
2014,136782,74916,61866,54.77,1687
2015,137462,77116,60346,56.1,1655
2016,138271,79298,58973,57.35,1786
2017,139008,81347,57661,58.52,1723
2018,139538,83137,56401,59.58,1523
2019,140005,84843,55162,60.6,1465
2020,141178,90220,50958,63.89,1200
2021,141260,91425,49835,64.72,1062
2022,141175,92071,49104,65.22,956
2023,140967,93267,47700,66.16,902
2024,140828,94350,46478,66.99,954
